roomNumber,roomStatus,roomType,bedType,qualityLevel,smokingAllowed
NaN,woagh,Sanglay,California King,TERRIBLE,Maybe?
0,OOO,Single,Twin,Nature Retreat,FALSE
100,VaCl,Family,Queen,Nature Retreat,FALSE
101,VaCl,Family,Queen,Nature Retreat,FALSE
102,VaCl,Family,Queen,Nature Retreat,FALSE
103,VaCl,Family,Queen,Nature Retreat,FALSE
104,VaCl,Family,Queen,Nature Retreat,FALSE
105,VaCl,Family,Queen,Nature Retreat,FALSE
106,VaCl,Family,Queen,Nature Retreat,FALSE
107,VaDi,Family,Queen,Nature Retreat,FALSE
108,VaDi,Family,Queen,Nature Retreat,FALSE
109,VaDi,Family,Queen,Nature Retreat,FALSE
110,VaDi,Family,Queen,Nature Retreat,FALSE
111,VaDi,Family,Queen,Nature Retreat,FALSE
112,OcCl,Family,Queen,Nature Retreat,FALSE
113,OcCl,Family,Queen,Nature Retreat,FALSE
114,OcCl,Family,Queen,Nature Retreat,FALSE
115,OcCl,Family,Queen,Nature Retreat,FALSE
116,OcCl,Double,Twin,Nature Retreat,FALSE
117,OcCl,Double,Twin,Nature Retreat,FALSE
118,OcCl,Double,Twin,Nature Retreat,FALSE
119,OcCl,Double,King,Nature Retreat,FALSE
120,OcDi,Double,Queen,Nature Retreat,FALSE
121,OcDi,Double,Queen,Nature Retreat,FALSE
122,OcDi,Double,Queen,Nature Retreat,FALSE
123,VaCl,Double,King,Nature Retreat,FALSE
124,OOO,Double,King,Nature Retreat,FALSE
125,OOO,Double,King,Nature Retreat,FALSE
126,VaCl,Single,Twin,Nature Retreat,FALSE
127,VaCl,Single,Twin,Nature Retreat,TRUE
128,VaCl,Single,Twin,Nature Retreat,TRUE
129,VaCl,Single,Full,Nature Retreat,FALSE
130,VaCl,Single,Full,Nature Retreat,FALSE
131,VaCl,Single,Full,Nature Retreat,FALSE
132,VaCl,Single,Queen,Nature Retreat,FALSE
133,VaCl,Single,Queen,Nature Retreat,FALSE
134,VaDi,Single,Queen,Nature Retreat,FALSE
135,VaDi,Single,King,Nature Retreat,FALSE
136,OOO,Single,King,Nature Retreat,FALSE
200,OOO,Deluxe,Full,Urban Elegance,TRUE
201,VaCl,Deluxe,Full,Urban Elegance,TRUE
202,VaCl,Deluxe,Full,Urban Elegance,TRUE
203,VaCl,Deluxe,Full,Urban Elegance,TRUE
204,VaCl,Deluxe,Full,Urban Elegance,FALSE
205,VaCl,Deluxe,Full,Urban Elegance,FALSE
206,VaCl,Deluxe,Full,Urban Elegance,FALSE
207,VaDi,Deluxe,Full,Urban Elegance,FALSE
208,VaDi,Deluxe,Full,Urban Elegance,FALSE
209,OcCl,Deluxe,Queen,Urban Elegance,FALSE
210,OcCl,Deluxe,Queen,Urban Elegance,FALSE
211,OcCl,Deluxe,Queen,Urban Elegance,FALSE
212,OcCl,Deluxe,Queen,Urban Elegance,FALSE
213,OcCl,Deluxe,Queen,Urban Elegance,FALSE
214,OcCl,Deluxe,Queen,Nature Retreat,FALSE
215,OcCl,Deluxe,Queen,Urban Elegance,FALSE
216,OcCl,Deluxe,Queen,Urban Elegance,FALSE
217,OcCl,Deluxe,Queen,Urban Elegance,FALSE
218,OcCl,Deluxe,King,Urban Elegance,FALSE
219,VaCl,Deluxe,King,Urban Elegance,FALSE
220,VaCl,Deluxe,King,Urban Elegance,FALSE
221,VaCl,Deluxe,King,Urban Elegance,FALSE
222,VaCl,Deluxe,King,Urban Elegance,FALSE
223,OcDi,Deluxe,King,Urban Elegance,FALSE
224,OcDi,Deluxe,King,Urban Elegance,TRUE
225,OcDi,Deluxe,King,Urban Elegance,TRUE
226,OcDi,Suite,Queen,Urban Elegance,FALSE
227,VaCl,Suite,Queen,Urban Elegance,FALSE
228,VaCl,Suite,Queen,Urban Elegance,FALSE
229,OcCl,Suite,Queen,Urban Elegance,FALSE
230,OcCl,Suite,Queen,Urban Elegance,FALSE
231,OcCl,Suite,King,Urban Elegance,FALSE
232,OcCl,Suite,King,Urban Elegance,FALSE
233,VaCl,Suite,King,Urban Elegance,FALSE
234,VaCl,Suite,King,Urban Elegance,TRUE
235,VaCl,Suite,King,Urban Elegance,TRUE
235,VaCl,Suite,[]\[]\[\',Urban Elegance,TRUE
235,VaDi,Suite,.;'[],Urban Elegance,TRUE
235,OOO,Suite,Queen,Urban Elegance,TRUE
,OcDi,Standard,Twin,Vintage Charm,TRUE
301,,Standard,Twin,Vintage Charm,TRUE
302,OcDi,,Twin,Vintage Charm,TRUE
303,OcDi,Standard,,Vintage Charm,TRUE
304,OcDi,Standard,Twin,,TRUE
305,VaDi,Standard,Full,Vintage Charm,
306,VaDi,Standard,Full,Vintage Charm,TRUE
307,OcCl,Standard,Full,Vintage Charm,TRUE
308,OcCl,Standard,Full,Vintage Charm,TRUE
309,OcCl,Standard,Full,Vintage Charm,TRUE
310,OcCl,Standard,Queen,Vintage Charm,TRUE
311,OcCl,Standard,Queen,Vintage Charm,TRUE
312,VaCl,Standard,Queen,Vintage Charm,TRUE
313,VaCl,Standard,Queen,Vintage Charm,TRUE
314,OcDi,Standard,Queen,Vintage Charm,TRUE
315,OcDi,Standard,King,Vintage Charm,TRUE
316,OcDi,Standard,King,Vintage Charm,TRUE
317,OcCl,Standard,King,Vintage Charm,TRUE
318,OcCl,Deluxe,Queen,Vintage Charm,TRUE
319,OcCl,Deluxe,Queen,Vintage Charm,TRUE
320,VaDi,Deluxe,Queen,Vintage Charm,TRUE
321,VaDi,Deluxe,Queen,Vintage Charm,TRUE
322,VaCl,Deluxe,Queen,Vintage Charm,TRUE
323,VaCl,Deluxe,Queen,Vintage Charm,TRUE
324,VaCl,Deluxe,Queen,Vintage Charm,TRUE
325,VaDi,Deluxe,Queen,Vintage Charm,TRUE
326,VaCl,Deluxe,Queen,Vintage Charm,TRUE
327,VaCl,Deluxe,King,Vintage Charm,TRUE
328,OcDi,Deluxe,King,Vintage Charm,TRUE
329,OcDi,Deluxe,King,Vintage Charm,TRUE
330,OcCl,Deluxe,King,Vintage Charm,TRUE
331,OcCl,Deluxe,King,Vintage Charm,TRUE
332,OcCl,Deluxe,King,Vintage Charm,TRUE
333,VaCl,Deluxe,King,Vintage Charm,TRUE
334,VaCl,Deluxe,King,Vintage Charm,TRUE
335,VaCl,Deluxe,King,Vintage Charm,TRUE
400,VaCl,Deluxe,King,Vintage Charm,TRUE
401,VaCl,Deluxe,King,Vintage Charm,TRUE
402,VaCl,Deluxe,King,Vintage Charm,TRUE
403,VaCl,Deluxe,King,Vintage Charm,TRUE
404,VaCl,Deluxe,King,Vintage Charm,TRUE
405,VaCl,Deluxe,King,Vintage Charm,TRUE
406,VaCl,Deluxe,King,Vintage Charm,TRUE
407,VaCl,Deluxe,King,Vintage Charm,TRUE
408,VaCl,Deluxe,King,Vintage Charm,TRUE
409,VaCl,Deluxe,King,Vintage Charm,TRUE
410,VaCl,Deluxe,King,Vintage Charm,TRUE
411,VaCl,Deluxe,King,Vintage Charm,TRUE
412,VaCl,Deluxe,King,Vintage Charm,TRUE
413,VaCl,Deluxe,King,Vintage Charm,TRUE
414,VaCl,Deluxe,King,Vintage Charm,TRUE
415,VaCl,Deluxe,King,Vintage Charm,TRUE
416,VaCl,Deluxe,King,Vintage Charm,TRUE
417,VaCl,Deluxe,King,Vintage Charm,TRUE
418,VaCl,Deluxe,King,Vintage Charm,TRUE
419,VaCl,Deluxe,King,Vintage Charm,TRUE
420,VaCl,Deluxe,King,Vintage Charm,TRUE
421,VaCl,Deluxe,King,Vintage Charm,TRUE
422,VaCl,Deluxe,King,Vintage Charm,TRUE
423,VaCl,Deluxe,King,Vintage Charm,TRUE
424,VaCl,Deluxe,King,Vintage Charm,TRUE
425,VaCl,Deluxe,King,Vintage Charm,TRUE
426,VaCl,Deluxe,King,Vintage Charm,TRUE
427,VaCl,Deluxe,King,Vintage Charm,TRUE
428,VaCl,Deluxe,King,Vintage Charm,TRUE
429,VaCl,Deluxe,King,Vintage Charm,TRUE
430,VaCl,Deluxe,King,Vintage Charm,TRUE
431,VaCl,Deluxe,King,Vintage Charm,TRUE
432,VaCl,Deluxe,King,Vintage Charm,TRUE
433,VaCl,Deluxe,King,Vintage Charm,TRUE
434,VaCl,Deluxe,King,Vintage Charm,TRUE
435,VaCl,Deluxe,King,Vintage Charm,TRUE
